Bocana N;ADOSSAT 01D
Bocana N;BARCELONA 18A
Bocana N;BARCELONA 18B
Bocana N;BARCELONA 18C
Bocana N;BARCELONETA 13A
Bocana N;BOSCHI ALSINA 16A
Bocana N;CATALUNYA 06C
Bocana N;CONTRADIC (EST) 22B
Bocana N;DIC SEC 04A
Bocana N;DIPOSIT 14A
Bocana N;ESPANYA 15A
Bocana N;ESPANYA 15B
Bocana N;First Line
Bocana N;LLEVANT 02B
Bocana N;LLEVANT 02D
Bocana N;LLEVENT 02C
Bocana N;MARINA'92 - NOU ESCAR 07A
Bocana N;MARINA'92 - NOU ESCAR 07B
Bocana N;MARINA'92 - NOU ESCAR 08A
Bocana N;MARINA'92 - NOU ESCAR 09A
Bocana N;MARINA'92 (NORD) 07C
Bocana N;MOLL DEL DIC FLOTANT 03B
Bocana N;MOLL DEL DIC SEC 03C
Bocana N;OCCIDENTAL 05B
Bocana N;ORIENTAL  03A
Bocana N;P. DE LA PAU - DRASSANES 17B
Bocana N;Paso M Levante
Bocana N;Paso WTC
Bocana N;PESCADORS - BALEARS 10A
Bocana N;PESCADORS - BALEARS 10B
Bocana N;PESCADORS - BALEARS 10C
Bocana N;PESCADORS - BALEARS 11B
Bocana N;PONIENTE 20B
Bocana N;RELLOTGE 12A
Bocana N;SANT BERTRAN 19A
Bocana N;SANT BERTRAN 19B
Bocana S;ALVAREZ DE LA CAMPA 26A
Bocana S;CONTRADIC (NORD) 22A
Bocana S;CONTRADIC (SUD) 22C
Bocana S;COSTA 21A
Bocana S;DARSENA INTERIOR A 31A
Bocana S;DARSENA INTERIOR B 31B
Bocana S;DARSENA SUD 30C
Bocana S;DARSENA SUR 30A
Bocana S;DARSENA SUR 30B
Bocana S;Dique SUR
Bocana S;First Line
Bocana S;FONDEIG 90A
Bocana S;INFLAMMABLES 32A
Bocana S;INFLAMMABLES 32B
Bocana S;INFLAMMABLES 32C
Bocana S;INFLAMMABLES 32D
Bocana S;INFLAMMABLES 32E
Bocana S;INFLAMMABLES 32F
Bocana S;INFLAMMABLES 32G
Bocana S;INFLAMMABLES 33B
Bocana S;INFLAMMABLES 34B
Bocana S;LEPANTO 27A
Bocana S;LEPANTO 27B
Bocana S;NOU CONTRADIC C 33C
Bocana S;OESTE 23A
Bocana S;Paso A Campa
Bocana S;Paso M Contrad.
Bocana S;Paso M Sur
Bocana S;Paso Torre
Bocana S;PONIENTE 20A
Bocana S;PONIENTE 20C
Bocana S;PONIENTE 20D
Bocana S;PRAT 36A
Bocana S;PRINCEP D'ESPANYA 28A
Bocana S;SUD (EN ESPERA) 24X
Bocana S;SUD (SUD) 24C
Bocana S;SUR (EST) 24B
Bocana S;SUR (NORD) 24A
BOSCHI ALSINA 16A;CATALUNYA 06C
BOSCHI ALSINA 16A;First Line
BOSCHI ALSINA 16A;LLEVANT 02B
BOSCHI ALSINA 16A;LLEVANT 02D
BOSCHI ALSINA 16A;MARINA'92 - NOU ESCAR 07A
BOSCHI ALSINA 16A;P. DE LA PAU - DRASSANES 17B
BOSCHI ALSINA 16A;PESCADORS - BALEARS 10A
BOSCHI ALSINA 16A;PESCADORS - BALEARS 10B
BOSCHI ALSINA 16A;PESCADORS - BALEARS 11B
BOSCHI ALSINA 16A;PONIENTE 20B
Boya N;ADOSSAT 00A
Boya N;ADOSSAT 01D
Boya N;BARCELONA 18A
Boya N;BARCELONA 18B
Boya N;BARCELONA 18C
Boya N;BARCELONETA 13A
Boya N;Bocana N
Boya N;BOSCHI ALSINA 16A
Boya N;CATALUNYA 06C
Boya N;CONTRADIC (EST) 22B
Boya N;DIC SEC 04A
Boya N;DIPOSIT 14A
Boya N;ESPANYA 15A
Boya N;ESPANYA 15B
Boya N;First Line
Boya N;LLEVANT 02B
Boya N;LLEVANT 02D
Boya N;LLEVENT 02C
Boya N;MARINA'92 - NOU ESCAR 07A
Boya N;MARINA'92 - NOU ESCAR 07B
Boya N;MARINA'92 - NOU ESCAR 08A
Boya N;MARINA'92 - NOU ESCAR 09A
Boya N;MARINA'92 (NORD) 07C
Boya N;MOLL DEL DIC FLOTANT 03B
Boya N;MOLL DEL DIC SEC 03C
Boya N;OCCIDENTAL 05B
Boya N;ORIENTAL  03A
Boya N;P. DE LA PAU - DRASSANES 17B
Boya N;Paso M Levante
Boya N;Paso WTC
Boya N;PESCADORS - BALEARS 10A
Boya N;PESCADORS - BALEARS 10B
